player_url,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,release_clause_eur,team_jersey_number,contract_valid_until,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,att_work_rate,def_work_rate,growth
https://sofifa.com/player/200389/jan-oblak/20/159586,26,188,87,Slovenia,Atlético Madrid,91,93,77500000.0,125000.0,GK,Right,3,3,1,164700000.0,13.0,2023.0,87.0,92.0,78.0,89.0,52.0,90.0,Medium,Medium,2
https://sofifa.com/player/192448/marc-andre-ter-stegen/20/159586,27,187,85,Germany,FC Barcelona,90,93,67500000.0,250000.0,GK,Right,3,4,1,143400000.0,1.0,2022.0,88.0,85.0,88.0,90.0,45.0,88.0,Medium,Medium,3
https://sofifa.com/player/212831/alisson-ramses-becker/20/159586,26,191,91,Brazil,Liverpool,89,91,58000000.0,155000.0,GK,Right,3,3,1,111700000.0,1.0,2024.0,85.0,84.0,85.0,89.0,51.0,90.0,Medium,Medium,2
https://sofifa.com/player/193080/david-de-gea-quintana/20/159586,28,192,82,Spain,Manchester United,89,90,56000000.0,205000.0,GK,Right,4,3,1,110600000.0,1.0,2020.0,90.0,84.0,81.0,92.0,58.0,85.0,Medium,Medium,1
https://sofifa.com/player/210257/ederson-santana-de-moraes/20/159586,25,188,86,Brazil,Manchester City,88,91,54500000.0,185000.0,GK,Left,2,3,1,104900000.0,31.0,2024.0,86.0,82.0,93.0,88.0,63.0,86.0,Medium,Medium,3
https://sofifa.com/player/192119/thibaut-courtois/20/159586,27,199,96,Belgium,Real Madrid,88,89,48000000.0,235000.0,GK,Left,4,2,1,102000000.0,13.0,2024.0,85.0,89.0,72.0,87.0,49.0,85.0,Medium,Medium,1
https://sofifa.com/player/167948/hugo-lloris/20/159586,32,188,82,France,Tottenham Hotspur,88,88,36000000.0,150000.0,GK,Left,4,1,1,66600000.0,1.0,2022.0,89.0,82.0,68.0,91.0,63.0,84.0,Medium,Medium,0
https://sofifa.com/player/167495/manuel-neuer/20/159586,33,193,92,Germany,FC Bayern München,88,88,32000000.0,155000.0,GK,Right,5,4,1,52800000.0,1.0,2021.0,87.0,87.0,91.0,87.0,57.0,85.0,Medium,Medium,0
https://sofifa.com/player/162835/samir-handanovic/20/159586,34,193,92,Slovenia,Inter,88,88,26000000.0,110000.0,GK,Right,3,2,1,44200000.0,1.0,2021.0,88.0,85.0,69.0,89.0,53.0,89.0,Medium,Medium,0
https://sofifa.com/player/193041/keylor-navas/20/159586,32,185,80,Costa Rica,Real Madrid,87,87,30500000.0,195000.0,GK,Right,3,3,1,62500000.0,1.0,2020.0,90.0,81.0,75.0,90.0,53.0,82.0,Medium,Medium,0
https://sofifa.com/player/186153/wojciech-szczesny/20/159586,29,195,90,Poland,Juventus,86,88,37500000.0,135000.0,GK,Right,3,3,1,64700000.0,1.0,2021.0,85.0,82.0,73.0,88.0,49.0,86.0,Medium,Medium,2
https://sofifa.com/player/230621/gianluigi-donnarumma/20/159586,20,196,90,Italy,Milan,85,92,41500000.0,34000.0,GK,Right,3,3,1,78900000.0,99.0,2021.0,90.0,80.0,74.0,90.0,50.0,80.0,Medium,Medium,7
https://sofifa.com/player/199482/anthony-lopes/20/159586,28,184,81,Portugal,Olympique Lyonnais,85,87,33500000.0,88000.0,GK,Left,2,2,1,66200000.0,1.0,2020.0,87.0,80.0,75.0,89.0,64.0,84.0,Medium,Medium,2
https://sofifa.com/player/189117/roman-burki/20/159586,28,187,85,Switzerland,Borussia Dortmund,85,86,32000000.0,92000.0,GK,Right,3,2,1,55200000.0,1.0,2021.0,86.0,80.0,74.0,89.0,50.0,83.0,Medium,Medium,1
https://sofifa.com/player/185122/peter-gulacsi/20/159586,29,192,86,Hungary,RB Leipzig,85,86,31000000.0,69000.0,GK,Right,2,2,1,55000000.0,1.0,2022.0,84.0,86.0,81.0,86.0,43.0,84.0,Medium,Medium,1
https://sofifa.com/player/194404/norberto-murara-neto/20/159586,29,190,84,Brazil,FC Barcelona,85,86,31000000.0,175000.0,GK,Right,2,2,1,65900000.0,13.0,2023.0,86.0,81.0,79.0,82.0,54.0,82.0,Medium,Medium,1
https://sofifa.com/player/206585/kepa-arrizabalaga/20/159586,24,186,85,Spain,Chelsea,84,89,31000000.0,92000.0,GK,Right,1,4,1,61200000.0,1.0,2024.0,84.0,82.0,86.0,85.0,33.0,80.0,Medium,Medium,5
https://sofifa.com/player/192563/bernd-leno/20/159586,27,190,83,Germany,Arsenal,84,86,26000000.0,91000.0,GK,Right,3,3,1,51400000.0,1.0,2023.0,83.0,81.0,78.0,85.0,56.0,84.0,Medium,Medium,2
https://sofifa.com/player/236583/jiri-pavlenka/20/159586,27,196,81,Czech Republic,SV Werder Bremen,84,86,26000000.0,37000.0,GK,Right,1,3,1,46200000.0,1.0,2021.0,86.0,79.0,70.0,88.0,36.0,80.0,Medium,Medium,2
https://sofifa.com/player/177683/yann-sommer/20/159586,30,183,79,Switzerland,Borussia Mönchengladbach,84,84,21000000.0,37000.0,GK,Right,3,4,1,35700000.0,1.0,2021.0,79.0,85.0,81.0,87.0,51.0,80.0,Medium,Medium,0
https://sofifa.com/player/167628/stephane-ruffier/20/159586,32,188,93,France,AS Saint-Étienne,84,84,19000000.0,41000.0,GK,Right,3,3,1,36100000.0,16.0,2021.0,82.0,84.0,75.0,82.0,48.0,85.0,Medium,Medium,0
