player_url,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,release_clause_eur,team_jersey_number,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,nation_jersey_number
https://sofifa.com/player/158023/lionel-messi/20/159586,32,170,72,Argentina,FC Barcelona,94,94,95500000,565000,"RW, CF, ST",Left,5,4,4,Medium/Low,195800000,10,2021,87,92,92,96,39,66,,,,,,,
https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/20/159586,34,187,83,Portugal,Juventus,93,93,58500000,405000,"ST, LW",Right,5,4,5,High/Low,96500000,7,2022,90,93,82,89,35,78,,,,,,,7
https://sofifa.com/player/190871/neymar-da-silva-santos-jr/20/159586,27,175,68,Brazil,Paris Saint-Germain,92,92,105500000,290000,"LW, CAM",Right,5,5,5,High/Medium,195200000,10,2022,91,85,87,95,32,58,,,,,,,10
https://sofifa.com/player/200389/jan-oblak/20/159586,26,188,87,Slovenia,Atlético Madrid,91,93,77500000,125000,GK,Right,3,3,1,Medium/Medium,164700000,13,2023,,,,,,,87,92,78,89,52,90,1
https://sofifa.com/player/183277/eden-hazard/20/159586,28,175,74,Belgium,Real Madrid,91,91,90000000,470000,"LW, CF",Right,4,4,4,High/Medium,184500000,7,2024,91,83,86,94,35,66,,,,,,,10
https://sofifa.com/player/192985/kevin-de-bruyne/20/159586,28,181,70,Belgium,Manchester City,91,91,90000000,370000,"CAM, CM",Right,4,5,4,High/High,166500000,17,2023,76,86,92,86,61,78,,,,,,,7
https://sofifa.com/player/192448/marc-andre-ter-stegen/20/159586,27,187,85,Germany,FC Barcelona,90,93,67500000,250000,GK,Right,3,4,1,Medium/Medium,143400000,1,2022,,,,,,,88,85,88,90,45,88,22
https://sofifa.com/player/203376/virgil-van-dijk/20/159586,27,193,92,Netherlands,Liverpool,90,91,78000000,200000,CB,Right,3,3,2,Medium/Medium,150200000,4,2023,77,60,70,71,90,86,,,,,,,4
https://sofifa.com/player/177003/luka-modric/20/159586,33,172,66,Croatia,Real Madrid,90,90,45000000,340000,CM,Right,4,4,4,High/High,92300000,10,2020,74,76,89,89,72,66,,,,,,,
https://sofifa.com/player/209331/mohamed-salah/20/159586,27,175,71,Egypt,Liverpool,90,90,80500000,240000,"RW, ST",Left,3,3,4,High/Medium,148900000,11,2023,93,86,81,89,45,74,,,,,,,10
https://sofifa.com/player/231747/kylian-mbappe/20/159586,20,178,73,France,Paris Saint-Germain,89,95,93500000,155000,"ST, RW",Right,3,4,5,High/Low,191700000,7,2022,96,84,78,90,39,75,,,,,,,10
https://sofifa.com/player/201024/kalidou-koulibaly/20/159586,28,187,89,Senegal,Napoli,89,91,67500000,150000,CB,Right,3,3,2,Medium/High,119800000,26,2021,71,28,54,67,89,87,,,,,,,
https://sofifa.com/player/202126/harry-kane/20/159586,25,188,89,England,Tottenham Hotspur,89,91,83000000,220000,ST,Right,3,4,3,High/High,159800000,10,2024,70,91,79,81,47,83,,,,,,,9
https://sofifa.com/player/212831/alisson-ramses-becker/20/159586,26,191,91,Brazil,Liverpool,89,91,58000000,155000,GK,Right,3,3,1,Medium/Medium,111700000,1,2024,,,,,,,85,84,85,89,51,90,
https://sofifa.com/player/193080/david-de-gea-quintana/20/159586,28,192,82,Spain,Manchester United,89,90,56000000,205000,GK,Right,4,3,1,Medium/Medium,110600000,1,2020,,,,,,,90,84,81,92,58,85,1
https://sofifa.com/player/215914/ngolo-kante/20/159586,28,168,72,France,Chelsea,89,90,66000000,235000,"CDM, CM",Right,3,3,2,Medium/High,130400000,7,2023,78,65,77,81,87,83,,,,,,,13
https://sofifa.com/player/138956/giorgio-chiellini/20/159586,34,187,85,Italy,Juventus,89,89,24500000,215000,CB,Left,4,3,2,Medium/High,40400000,3,2020,68,46,58,60,90,82,,,,,,,3
https://sofifa.com/player/153079/sergio-aguero/20/159586,31,173,70,Argentina,Manchester City,89,89,60000000,300000,ST,Right,4,4,4,High/Medium,111000000,10,2021,80,90,77,88,33,74,,,,,,,9
https://sofifa.com/player/155862/sergio-ramos-garcia/20/159586,33,184,82,Spain,Real Madrid,89,89,31500000,300000,CB,Right,4,3,3,High/Medium,64600000,4,2020,72,68,75,73,87,85,,,,,,,15
https://sofifa.com/player/176580/luis-suarez/20/159586,32,182,86,Uruguay,FC Barcelona,89,89,53000000,355000,ST,Right,5,4,3,High/Medium,108700000,9,2021,73,89,80,84,51,84,,,,,,,
https://sofifa.com/player/188545/robert-lewandowski/20/159586,30,184,80,Poland,FC Bayern München,89,89,64500000,235000,ST,Right,4,4,4,High/Medium,106400000,9,2021,77,87,74,85,41,82,,,,,,,9
https://sofifa.com/player/189511/sergio-busquets-burgos/20/159586,30,189,76,Spain,FC Barcelona,89,89,55000000,300000,"CDM, CM",Right,4,3,3,Medium/Medium,112800000,5,2023,42,62,80,80,85,80,,,,,,,5
https://sofifa.com/player/194765/antoine-griezmann/20/159586,28,176,73,France,FC Barcelona,89,89,69000000,370000,"CF, ST, LW",Left,4,3,4,High/High,141500000,17,2024,81,86,84,89,57,72,,,,,,,7
https://sofifa.com/player/211110/paulo-dybala/20/159586,25,177,75,Argentina,Juventus,88,92,76500000,215000,"CAM, RW",Left,3,3,4,Medium/Medium,132000000,10,2022,83,82,84,90,43,64,,,,,,,21
https://sofifa.com/player/195864/paul-pogba/20/159586,26,191,84,France,Manchester United,88,91,72500000,250000,"CM, CDM",Right,4,4,5,High/Medium,143200000,6,2021,74,81,86,85,66,86,,,,,,,6
https://sofifa.com/player/210257/ederson-santana-de-moraes/20/159586,25,188,86,Brazil,Manchester City,88,91,54500000,185000,GK,Left,2,3,1,Medium/Medium,104900000,31,2024,,,,,,,86,82,93,88,63,86,
https://sofifa.com/player/202652/raheem-sterling/20/159586,24,170,69,England,Manchester City,88,90,73000000,255000,"RW, LW",Right,3,3,4,High/Medium,140500000,7,2023,93,79,78,89,45,57,,,,,,,10
https://sofifa.com/player/190460/christian-eriksen/20/159586,27,181,76,Denmark,Tottenham Hotspur,88,89,68000000,205000,"CAM, CM",Right,3,5,4,High/High,130900000,23,2020,73,81,90,84,53,63,,,,,,,10
https://sofifa.com/player/192119/thibaut-courtois/20/159586,27,199,96,Belgium,Real Madrid,88,89,48000000,235000,GK,Left,4,2,1,Medium/Medium,102000000,13,2024,,,,,,,85,89,72,87,49,85,1
https://sofifa.com/player/152729/gerard-pique-bernabeu/20/159586,32,194,85,Spain,FC Barcelona,88,88,38000000,285000,CB,Right,4,3,2,High/Medium,77900000,3,2022,56,61,72,68,88,80,,,,,,,
https://sofifa.com/player/162835/samir-handanovic/20/159586,34,193,92,Slovenia,Inter,88,88,26000000,110000,GK,Right,3,2,1,Medium/Medium,44200000,1,2021,,,,,,,88,85,69,89,53,89,
https://sofifa.com/player/167495/manuel-neuer/20/159586,33,193,92,Germany,FC Bayern München,88,88,32000000,155000,GK,Right,5,4,1,Medium/Medium,52800000,1,2021,,,,,,,87,87,91,87,57,85,1
https://sofifa.com/player/167948/hugo-lloris/20/159586,32,188,82,France,Tottenham Hotspur,88,88,36000000,150000,GK,Left,4,1,1,Medium/Medium,66600000,1,2022,,,,,,,89,82,68,91,63,84,1
https://sofifa.com/player/168542/david-josue-jimenez-silva/20/159586,33,173,67,Spain,Manchester City,88,88,36000000,265000,"CAM, CM",Left,4,2,4,High/Medium,66600000,21,2020,65,74,88,89,52,57,,,,,,,
https://sofifa.com/player/179813/edinson-cavani/20/159586,32,185,77,Uruguay,Paris Saint-Germain,88,88,47000000,195000,ST,Right,4,4,3,High/High,87000000,9,2020,75,86,72,79,55,83,,,,,,,
https://sofifa.com/player/182493/diego-godin/20/159586,33,187,78,Uruguay,Inter,88,88,28000000,135000,CB,Right,3,3,2,Medium/High,47600000,2,2022,60,48,64,61,89,83,,,,,,,
https://sofifa.com/player/182521/toni-kroos/20/159586,29,183,76,Germany,Real Madrid,88,88,57000000,330000,CM,Right,4,5,3,Medium/Medium,116900000,8,2023,45,80,90,81,70,69,,,,,,,8
https://sofifa.com/player/188350/marco-reus/20/159586,30,180,71,Germany,Borussia Dortmund,88,88,56000000,170000,"CAM, LM, ST",Right,4,4,4,High/Medium,92400000,11,2023,85,88,84,87,45,66,,,,,,,11
https://sofifa.com/player/188567/pierre-emerick-aubameyang/20/159586,30,187,80,Gabon,Arsenal,88,88,57000000,205000,"ST, LM",Right,3,4,4,Medium/Low,108300000,14,2021,94,85,75,80,37,69,,,,,,,
https://sofifa.com/player/208722/sadio-mane/20/159586,27,175,69,Senegal,Liverpool,88,88,62000000,220000,"LW, LM",Right,3,4,4,High/Medium,114700000,10,2023,94,83,77,89,44,74,,,,,,,
